x y z
-7.071068 -6.928218 -6.785368
-6.642518 -6.499668 -6.356819
-6.213969 -6.071119 -5.928269
-5.785419 -5.642569 -5.499719
-5.356870 -5.214020 -5.071170
-4.928320 -4.785470 -4.642620
-4.499770 -4.356921 -4.214071
-4.071221 -3.928371 -3.785521
-3.642671 -3.499821 -3.356972
-3.214122 -3.071272 -2.928422
-2.785572 -2.642722 -2.499872
-2.357023 -2.214173 -2.071323
-1.928473 -1.785623 -1.642773
-1.499923 -1.357074 -1.214224
-1.071374 -0.928524 -0.785674
-0.642824 -0.499974 -0.357125
-0.214275 -0.071425 0.071425
0.214275 0.357125 0.499974
0.642824 0.785674 0.928524
1.071374 1.214224 1.357074
1.499923 1.642773 1.785623
1.928473 2.071323 2.214173
2.357023 2.499872 2.642722
2.785572 2.928422 3.071272
3.214122 3.356972 3.499821
3.642671 3.785521 3.928371
4.071221 4.214071 4.356921
4.499770 4.642620 4.785470
4.928320 5.071170 5.214020
5.356870 5.499719 5.642569
5.785419 5.928269 6.071119
6.213969 6.356819 6.499668
6.642518 6.785368 6.928218
7.071068 -7.071068 -6.928218
-6.785368 -6.642518 -6.499668
-6.356819 -6.213969 -6.071119
-5.928269 -5.785419 -5.642569
-5.499719 -5.356870 -5.214020
-5.071170 -4.928320 -4.785470
-4.642620 -4.499770 -4.356921
-4.214071 -4.071221 -3.928371
-3.785521 -3.642671 -3.499821
-3.356972 -3.214122 -3.071272
-2.928422 -2.785572 -2.642722
-2.499872 -2.357023 -2.214173
-2.071323 -1.928473 -1.785623
-1.642773 -1.499923 -1.357074
-1.214224 -1.071374 -0.928524
-0.785674 -0.642824 -0.499974
-0.357125 -0.214275 -0.071425
0.071425 0.214275 0.357125
0.499974 0.642824 0.785674
0.928524 1.071374 1.214224
1.357074 1.499923 1.642773
1.785623 1.928473 2.071323
2.214173 2.357023 2.499872
2.642722 2.785572 2.928422
3.071272 3.214122 3.356972
3.499821 3.642671 3.785521
3.928371 4.071221 4.214071
4.356921 4.499770 4.642620
4.785470 4.928320 5.071170
5.214020 5.356870 5.499719
5.642569 5.785419 5.928269
6.071119 6.213969 6.356819
6.499668 6.642518 6.785368
6.928218 7.071068 100.000000
96.000408 92.082441 88.246097
84.491378 80.818284 77.226814
73.716968 70.288746 66.942149
63.677176 60.493827 57.392103
54.372003 51.433527 48.576676
45.801449 43.107846 40.495868
37.965514 35.516784 33.149679
30.864198 28.660341 26.538108
24.497500 22.538516 20.661157
18.865422 17.151311 15.518825
13.967962 12.498725 11.111111
9.805122 8.580757 7.438017
6.376900 5.397408 4.499541
3.683298 2.948679 2.295684
1.724314 1.234568 0.826446
0.499949 0.255076 0.091827
0.010203 0.010203 0.091827
0.255076 0.499949 0.826446
1.234568 1.724314 2.295684
2.948679 3.683298 4.499541
5.397408 6.376900 7.438017
8.580757 9.805122 11.111111
12.498725 13.967962 15.518825
17.151311 18.865422 20.661157
22.538516 24.497500 26.538108
28.660341 30.864198 33.149679
35.516784 37.965514 40.495868
43.107846 45.801449 48.576676
51.433527 54.372003 57.392103
60.493827 63.677176 66.942149
70.288746 73.716968 77.226814
80.818284 84.491378 88.246097
92.082441 96.000408 100.000000
